"specification","estimator","covariates","trimming","estimate","se","gap","gap_se","n_treated","n_controls","ess_control","max_smd","lo","hi","gap_lo","gap_hi"
"Naive observational difference","Naive","None","None",-8497.51614813258,581.879814536019,-10291.8585299786,347.905151790621,185,15992,15991.9999999984,2.42777254054652,-9637.97962795402,-7357.05266831114,-10973.7400975242,-9609.97696243308
"1-NN: Demographics / No trim","1-NN matching","Demographics","No trim",-2797.93581429559,1067.84065694306,-4592.27819614567,960.592288485901,185,120,79.7785547785545,0.0687558289919376,-4890.86504313158,-705.006585459592,-6475.00448540495,-2709.5519068864
"Stratification: Demographics / No trim","Five score strata","Demographics","No trim",-4046.07258056328,676.608882753013,-5840.41496241159,490.156563047165,185,15992,469.858140906847,0.216472146370658,-5372.20162237907,-2719.94353874749,-6801.10417276997,-4879.72575205321
"1-NN: Demographics / Common-support trim","1-NN matching","Demographics","Common-support trim",-2797.93581429559,1067.84065694306,-4592.27819614567,960.592288485901,185,120,79.7785547785545,0.0687558289919376,-4890.86504313158,-705.006585459592,-6475.00448540495,-2709.5519068864
"Stratification: Demographics / Common-support trim","Five score strata","Demographics","Common-support trim",-3911.72391431662,681.414213135262,-5706.06629616694,496.768765061509,185,12706,451.143851905492,0.212026563984175,-5247.27123061544,-2576.17659801781,-6679.71518433194,-4732.41740800194
"1-NN: Demographics + earnings / No trim","1-NN matching","Demographics + earnings","No trim",1712.15743731937,801.045165246976,-82.1849445307253,651.250514658944,185,127,95.33426183844,0.367554120916129,142.137763445364,3282.17711119338,-1358.61249817543,1194.24260911398
"Stratification: Demographics + earnings / No trim","Five score strata","Demographics + earnings","No trim",-180.67702831602,657.4670148459,-1975.01941016391,463.375389601457,185,15992,352.778161795324,0.372458085774522,-1469.28869843705,1107.93464180501,-2883.21848510498,-1066.82033522284
"1-NN: Demographics + earnings / Common-support trim","1-NN matching","Demographics + earnings","Common-support trim",1758.58201502207,800.716134394387,-35.7603668280226,650.845760497428,185,127,95.33426183844,0.365386608116824,189.207229768943,3327.95680027521,-1311.39461689356,1239.87388323752
"Stratification: Demographics + earnings / Common-support trim","Five score strata","Demographics + earnings","Common-support trim",1252.52399020807,649.498407352576,-541.818391642687,451.997850914732,185,5776,346.564258011684,0.20918753594789,-20.4694962191049,2525.51747663524,-1427.71790052507,344.081117239692
