"spec","n","ols_b","ols_se","iv_b","iv_se","iv_lo","iv_hi","fs_b","fs_se","fs_F","weak"
"Base (bivariate)",64,0.522107029724591,0.0611850385365589,0.944279385154799,0.156525457329579,0.637495126125163,1.25106364418443,-0.606778248833894,0.126668600227439,22.9467965870538,FALSE
"+ latitude",64,0.467887063834988,0.0641642453206737,0.995704032362436,0.221681600352082,0.561216079637154,1.43019198508772,-0.510268054580947,0.141018564768973,13.0931510939872,FALSE
"+ continents (afr,asia)",64,0.434122687374049,0.0540975927650555,0.839048223805752,0.191082852127358,0.464532715572937,1.21356373203857,-0.533065050679152,0.160684760381995,11.0055319946629,FALSE
"Drop neo-Europes",60,0.486848178044075,0.0761046830544473,1.28123990507599,0.358488141445104,0.578616058958882,1.98386375119309,-0.391238390407799,0.133055258599234,8.64607185007952,TRUE
"Africa only",27,0.30178660826698,0.106270545778622,2.40049537870464,3.98686963703503,-5.41362552094029,10.2146162783496,-0.10835321264201,0.198359926244284,0.298384121765408,TRUE
